Year,IV_Emp,IV_All,NIV_Emp,NIV_All,Removed,Apprehended,Returned,Enforcement
2016,137893,1183505,3896674,76786751,340056,530250,106167,976473
2015,144047,1051031,3722543,76638236,326962,462388,129429,918779
2014,151596,1016518,3398961,74930606,405589,679996,163223,1248808
2013,161110,990553,2996743,61052260,433034,662483,178663,1274180
2012,143998,1031631,3049419,53887286,415900,671327,230333,1317560
2011,139339,1062040,3385775,53082286,385778,678606,322073,1386457
2010,148343,1042625,2816485,46471569,381593,796587,474166,1652346
2009,140903,1130818,1703697,36231554,391283,889212,582584,1863079
2008,164741,1107126,1949695,39381928,359795,1043759,811263,2214817
2007,161733,1052415,1932075,37149651,319382,960673,891390,2171445
2006,159081,1266264,1709953,33667328,280974,1206408,1043381,2530763
2005,246878,1122373,1573631,32003435,246431,1291065,1096920,2634416
2004,155330,957883,1508340,30781330,240665,1264232,1166576,2671473
2003,81727,703542,1431717,27849443,211098,1046422,945294,2202814
2002,173814,1059356,1468760,27907139,165168,1062270,1012116,2239554
2001,178702,1058902,1541902,32824088,189026,1387486,1349371,2925883
2000,106642,841002,1414453,33660320,188467,1814729,1675876,3679072
1999,56678,644787,1184072,31446054,183114,1714035,1574863,3472012
1998,77413,653206,1010756,30174627,174813,1679439,1570127,3424379
1997,90490,797847,856188,27508565,114432,1536520,1440684,3091636
1996,117499,915900,701619,24842503,69680,1649986,1573428,3293094
1995,85336,720461,603988,22640540,50924,1394554,1313764,2759242
1994,123291,804416,583023,22118706,45674,1094719,1029107,2169500
1993,147012,904292,519591,21566404,42542,1327261,1243410,2613213
1992,116198,973977,511939,20910880,43671,1258481,1105829,2407981
1991,59525,1827167,492577,18920045,33189,1197875,1061105,2292169
1990,58192,1536483,444504,17574055,30039,1169939,1022533,2222511
1989,57741,1090924,427350,16144576,34427,954243,830890,1819560
1988,58727,643025,397419,14493402,25829,1008145,911790,1945764
1987,57519,601516,367488,12842228,24336,1190488,1091203,2306027
1986,56617,601708,337556,11191054,24592,1767400,1586320,3378312
1985,70251,568149,307625,9539880,23105,1348749,1041296,2413150
1984,66995,541811,307625,9539880,18696,1246981,909833,2175510
1983,68014,550052,307625,9539880,19211,1251357,931600,2202168
1982,65982,533624,307625,9539880,15216,970246,812572,1798034
1981,73573,595014,307625,9539880,17379,975780,823875,1817034
1980,,524295,,,18013,910361,719211,1647585
1979,,394244,,,26825,1076418,966137,2069380
1978,,589810,,,29277,1057977,975515,2062769
1977,,458755,,,31263,1042215,867015,1940493
1976,,499093,,,38471,1097739,955374,2091584
1975,,385378,,,24432,766600,655814,1446846
1974,,393919,,,19413,788145,718740,1526298
1973,,398515,,,17346,655968,568005,1241319
1972,,384685,,,16883,505949,450927,973759
1971,,370478,,,18294,420126,370074,808494
1970,,373326,,,17469,345353,303348,666170
1969,,358579,,,11030,283557,240958,535545
1968,,454448,,,9590,212057,179952,401599
1967,,361972,,,9728,161608,142343,313679
1966,,323040,,,9680,138520,123683,271883
1965,,296697,,,10572,110371,95263,216206
1964,,292248,,,9167,86597,73042,168806
1963,,306260,,,7763,88712,69392,165867
1962,,283763,,,8025,92758,54164,154947
1961,,271344,,,8181,88823,52383,149387
1960,,265398,,,7240,70684,52796,130720
1959,,260686,,,8468,45336,56610,110414
1958,,253265,,,7875,53474,60600,121949
1957,,326867,,,5989,59918,63379,129286
1956,,321625,,,9006,87696,80891,177593
1955,,237790,,,17695,254096,232769,504560
1954,,208177,,,30264,1089583,1074277,2194124
1953,,170434,,,23482,885587,885391,1794460
1952,,265520,,,23125,543535,703778,1270438
1951,,205717,,,17328,509040,673169,1199537
1950,,249187,,,10199,468339,572477,1051015
1949,,188317,,,23874,288253,276297,588424
1948,,170570,,,25276,192779,197184,415239
1947,,147292,,,23434,193657,195880,412971
1946,,108721,,,17317,99591,101945,218853
1945,,38119,,,13611,69164,69490,152265
1944,,28551,,,8821,31174,32270,72265
1943,,23725,,,5702,11175,11947,28824
1942,,28781,,,5542,11784,6904,24230
1941,,51776,,,7336,11294,6531,25161
1940,,70756,,,12254,10492,8594,31340
1939,,82998,,,14700,12037,9590,36327
1938,,67895,,,17341,12851,9278,39470
1937,,50244,,,16905,13054,8788,38747
1936,,36329,,,16195,11728,8251,36174
1935,,34956,,,13877,11016,7978,32871
1934,,29470,,,14263,10319,8010,32592
1933,,23068,,,25392,20949,10347,56688
1932,,35576,,,26490,22735,10775,60000
1931,,97139,,,27886,22276,11719,61881
1930,,241700,,,24864,20880,11387,57131
1929,,279678,,,31035,32711,25888,89634
1928,,307255,,,30464,23566,19946,73976
1927,,335175,,,31417,16393,15012,62822
1926,,304488,,,31454,12735,,44189
1925,,294314,,,34885,22199,,57084
1924,,706896,,,36693,,,36693
1923,,522919,,,24280,,,24280
1922,,309556,,,18076,,,18076
1921,,805228,,,18296,,,18296
1920,,430001,,,14557,,,14557
1919,,141132,,,11694,,,11694
1918,,110618,,,8866,,,8866
1917,,295403,,,17881,,,17881
1916,,298826,,,21648,,,21648
1915,,326700,,,26675,,,26675
1914,,1218480,,,37651,,,37651
1913,,1197892,,,23399,,,23399
1912,,838172,,,18513,,,18513
1911,,878587,,,25137,,,25137
1910,,1041570,,,26965,,,26965
1909,,751786,,,12535,,,12535
1908,,782870,,,12971,,,12971
1907,,1285349,,,14059,,,14059
1906,,1100735,,,13108,,,13108
1905,,1026499,,,12724,,,12724
1904,,812870,,,8773,,,8773
1903,,857046,,,9316,,,9316
1902,,648743,,,5439,,,5439
1901,,487918,,,3879,,,3879
1900,,448572,,,4602,,,4602
1899,,311715,,,4052,,,4052
1898,,229299,,,3229,,,3229
1897,,230832,,,1880,,,1880
1896,,343267,,,3037,,,3037
1895,,258536,,,2596,,,2596
1894,,285631,,,1806,,,1806
1893,,439730,,,1630,,,1630
1892,,579663,,,2801,,,2801
1891,,560319,,,,,,
1890,,455302,,,,,,
1889,,444427,,,,,,
1888,,546889,,,,,,
1887,,490109,,,,,,
1886,,334203,,,,,,
1885,,395346,,,,,,
1884,,518592,,,,,,
1883,,603322,,,,,,
1882,,788992,,,,,,
1881,,669431,,,,,,
1880,,457257,,,,,,
1879,,177826,,,,,,
1878,,138469,,,,,,
1877,,141857,,,,,,
1876,,169986,,,,,,
1875,,227498,,,,,,
1874,,313339,,,,,,
1873,,459803,,,,,,
1872,,404806,,,,,,
1871,,321350,,,,,,
1870,,387203,,,,,,
1869,,352768,,,,,,
1868,,138840,,,,,,
1867,,315722,,,,,,
1866,,318568,,,,,,
1865,,248120,,,,,,
1864,,193418,,,,,,
1863,,176282,,,,,,
1862,,91985,,,,,,
1861,,91918,,,,,,
1860,,153640,,,,,,
1859,,121282,,,,,,
1858,,123126,,,,,,
1857,,251306,,,,,,
1856,,200436,,,,,,
1855,,200877,,,,,,
1854,,427833,,,,,,
1853,,368645,,,,,,
1852,,371603,,,,,,
1851,,379466,,,,,,
1850,,369980,,,,,,
1849,,297024,,,,,,
1848,,226527,,,,,,
1847,,234968,,,,,,
1846,,154416,,,,,,
1845,,114371,,,,,,
1844,,78615,,,,,,
1843,,52496,,,,,,
1842,,104565,,,,,,
1841,,80289,,,,,,
1840,,84066,,,,,,
1839,,68069,,,,,,
1838,,38914,,,,,,
1837,,79340,,,,,,
1836,,76242,,,,,,
1835,,45374,,,,,,
1834,,65365,,,,,,
1833,,58640,,,,,,
1832,,60482,,,,,,
1831,,22633,,,,,,
1830,,23322,,,,,,
1829,,22520,,,,,,
1828,,27382,,,,,,
1827,,18875,,,,,,
1826,,10837,,,,,,
1825,,10199,,,,,,
1824,,7912,,,,,,
1823,,6354,,,,,,
1822,,6911,,,,,,
1821,,9127,,,,,,
1820,,8385,,,,,,
